timestamp,rpm,speed,brake,oilTemp,oilStatus
1601379421.4168031,14,37,164,189,168
1601379422.417204,128,187,197,89,195
1601379423.421957,173,144,94,178,14
1601379424.424115,186,153,108,180,82
1601379425.429426,65,55,98,183,37
1601379426.432792,157,27,53,60,7
1601379427.435744,191,196,150,144,179
1601379428.441097,70,67,190,6,150
1601379429.4462762,164,190,186,161,26
1601379430.449107,147,46,181,138,62
1601379431.453405,94,26,28,105,121
1601379432.4572532,43,144,81,64,168
1601379433.4614432,82,44,103,23,97
1601379434.466788,87,144,154,145,124
1601379435.4683,66,199,191,145,66
1601379436.472673,49,190,167,103,8
1601379437.4751732,136,7,183,162,157
1601379438.479172,174,112,38,174,41
1601379439.484225,12,53,59,116,115
1601379440.488554,34,103,174,94,94
1601379441.491049,37,27,34,73,174
1601379442.494669,107,131,150,149,136
1601379443.498378,189,85,160,159,75
1601379444.502697,195,36,37,42,20
1601379445.507499,143,118,26,143,82
1601379446.509537,5,90,11,16,199
1601379447.513118,7,153,14,182,52
1601379448.518494,60,84,86,57,2
1601379449.523031,162,182,25,149,42
1601379450.523386,147,125,160,153,167
1601379451.528723,37,9,64,88,123
1601379452.529568,174,198,148,112,187
1601379453.533464,48,25,193,23,163
1601379454.5374131,40,142,71,134,74
1601379455.542473,4,103,52,154,199
1601379456.544497,83,199,165,119,40
1601379457.546165,23,180,124,31,160
1601379458.550855,94,152,79,5,31
1601379459.5560188,105,195,102,43,140
1601379460.5613241,28,47,175,167,72
1601379461.5665941,117,91,157,72,20
1601379462.568726,23,5,75,181,54
1601379463.572813,107,199,3,3,159
1601379464.574958,192,103,95,68,87
1601379465.575486,7,17,125,156,118
1601379466.578881,144,7,196,36,155
1601379467.5839229,127,84,27,86,129
1601379468.588492,159,48,122,191,129
1601379469.593976,9,83,70,101,34
1601379470.5994399,18,3,8,18,15
1601379471.60125,75,21,144,3,147
1601379472.605081,143,126,123,42,67
1601379473.605301,64,65,118,76,114
1601379474.610771,72,70,84,8,183
1601379475.614128,3,131,102,163,101
1601379476.619314,31,187,171,9,104
1601379477.621706,53,114,32,27,126
1601379478.626175,189,172,124,47,107
1601379479.629631,83,24,129,106,99
