timestamp,rpm,speed,brake,oilTemp,oilStatus
1601287561.129657,22,46,78,18,181
1601287562.130406,144,58,178,24,10
1601287563.132378,64,168,36,190,160
1601287564.134942,132,36,164,31,16
1601287565.138902,7,117,33,178,134
1601287566.1401951,110,166,135,131,117
1601287567.141184,61,169,3,168,192
1601287568.14497,65,146,192,104,197
1601287569.145256,70,80,165,193,65
1601287570.148909,97,116,177,84,154
1601287571.152592,68,198,5,76,15
1601287572.155423,144,151,94,191,57
1601287573.160039,182,184,86,134,129
1601287574.1606588,172,72,5,122,150
1601287575.161249,181,139,96,74,120
1601287576.1621912,194,34,82,38,101
1601287577.1625931,137,153,164,16,60
1601287578.163035,146,129,188,155,11
1601287579.1679502,172,81,150,81,11
1601287580.172802,11,93,54,95,11
1601287581.1770182,125,124,173,167,200
1601287582.179276,147,169,76,46,68
1601287583.179646,64,92,11,69,197
1601287584.179976,77,104,33,61,59
1601287585.185048,133,40,133,124,28
1601287586.187728,148,37,31,170,57
1601287587.191564,173,176,64,88,173
1601287588.192214,146,97,137,122,47
1601287589.192529,80,16,80,176,183
1601287590.193851,16,116,140,75,2
1601287591.1944041,37,5,44,169,198
1601287592.194696,108,101,121,199,199
1601287593.1951182,143,36,75,67,111
1601287594.195698,181,103,193,27,156
1601287595.196152,25,184,1,99,19
1601287596.197345,110,104,38,142,19
1601287597.202039,10,175,31,7,134
1601287598.20527,194,44,148,134,87
1601287599.21056,78,116,76,134,137
1601287600.2144709,199,169,8,41,62
1601287601.2189162,146,30,194,35,197
1601287602.222857,61,15,58,168,124
1601287603.227705,164,144,36,193,150
1601287604.229747,153,21,88,103,189
1601287605.232364,140,146,58,91,12
1601287606.235573,70,3,42,183,83
1601287607.23598,130,15,15,11,56
1601287608.239041,93,111,179,63,43
1601287609.241809,50,87,169,142,73
1601287610.2431,196,151,168,176,90
1601287611.244113,14,54,96,34,187
1601287612.249471,155,186,118,47,69
1601287613.252448,170,110,137,178,65
1601287614.255619,172,125,47,147,101
1601287615.258137,155,42,197,172,112
1601287616.262537,96,72,119,97,95
1601287617.26461,157,120,61,139,147
1601287618.269023,119,39,120,183,119
1601287619.273418,86,80,13,147,183
