timestamp,rpm,speed,brake,oilTemp,oilStatus
1601379391.3228228,170,27,79,148,76
1601379392.324883,143,136,82,30,90
1601379393.330323,166,58,128,58,138
1601379394.334521,79,174,117,146,56
1601379395.339573,144,141,31,170,15
1601379396.343678,150,142,190,13,151
1601379397.3453171,192,76,195,58,93
1601379398.349052,89,195,182,158,20
1601379399.350049,122,186,29,10,192
1601379400.3551302,200,128,72,104,196
1601379401.359515,42,93,200,159,121
1601379402.3615518,39,140,144,54,83
1601379403.366098,78,75,67,149,93
1601379404.3674188,116,102,153,75,193
1601379405.3689442,141,44,191,109,58
1601379406.369503,25,104,46,53,74
1601379407.373027,68,128,1,190,94
1601379408.377543,133,136,45,70,57
1601379409.3812292,133,137,159,115,53
1601379410.385198,126,18,135,155,126
1601379411.385686,44,16,160,101,199
1601379412.390541,8,167,60,26,198
1601379413.394321,50,3,48,127,62
1601379414.394573,25,114,29,48,173
1601379415.398853,17,123,20,28,96
1601379416.401634,94,153,109,194,74
1601379417.406851,8,200,2,26,127
1601379418.4080582,129,197,138,61,21
1601379419.40992,3,32,66,104,96
