engine_load,engine_rpm,vehicle_speed,throttle,short_fuel_trim_bank,engine_runtime,traveled_distance,fuel_tank_level,ambient_air_temperature,timestamp
28.63,675.5,0,14.51,-0.78,9824,30059,20.78,21,2021-05-30 22:30:00.436543744+00:00
29.02,686.5,0,14.51,0.0,9825,30059,21.18,21,2021-05-30 22:30:01.467718400+00:00
29.02,680.0,0,14.51,-0.78,9826,30059,21.18,21,2021-05-30 22:30:02.480151808+00:00
28.63,671.0,0,14.51,1.56,9827,30059,21.18,21,2021-05-30 22:30:03.492190976+00:00
28.63,671.0,0,14.51,1.56,9827,30059,21.18,21,2021-05-30 22:30:04.503964928+00:00
28.63,681.0,0,14.9,1.56,9829,30059,21.18,21,2021-05-30 22:30:05.517183232+00:00
28.24,682.0,0,14.51,2.34,9830,30059,21.18,21,2021-05-30 22:30:06.529925120+00:00
28.63,675.5,0,14.9,0.78,9831,30059,21.18,21,2021-05-30 22:30:07.542243328+00:00
29.41,678.0,0,14.51,0.78,9832,30059,21.18,21,2021-05-30 22:30:08.554151168+00:00
29.02,675.5,0,14.51,0.0,9833,30059,21.18,21,2021-05-30 22:30:09.567494656+00:00
29.02,675.5,0,14.51,0.0,9833,30059,21.18,21,2021-05-30 22:30:10.580310016+00:00
28.63,676.5,0,14.51,1.56,9835,30059,21.18,21,2021-05-30 22:30:11.593626112+00:00
28.24,691.0,0,14.51,1.56,9836,30059,21.18,21,2021-05-30 22:30:12.606627840+00:00
28.63,692.5,0,14.9,5.47,9837,30059,21.18,21,2021-05-30 22:30:13.618694400+00:00
27.84,678.0,0,14.51,2.34,9838,30059,21.18,21,2021-05-30 22:30:14.630974208+00:00
28.24,675.5,0,14.9,-0.78,9839,30059,21.18,21,2021-05-30 22:30:15.638010624+00:00
28.63,675.0,0,14.51,0.0,9840,30059,21.18,21,2021-05-30 22:30:16.656199680+00:00
28.63,675.0,0,14.51,0.0,9840,30059,21.18,21,2021-05-30 22:30:17.668093440+00:00
28.63,674.0,0,14.51,0.0,9842,30059,21.18,21,2021-05-30 22:30:18.675368192+00:00
29.02,675.5,0,14.51,0.78,9843,30059,21.18,21,2021-05-30 22:30:19.682653952+00:00
28.63,675.0,0,14.9,0.78,9844,30059,21.18,21,2021-05-30 22:30:20.695418624+00:00
28.63,676.0,0,14.51,0.0,9845,30059,21.18,21,2021-05-30 22:30:21.707246080+00:00
28.63,683.5,0,14.51,-0.78,9846,30059,21.18,21,2021-05-30 22:30:22.719700224+00:00
29.02,682.5,0,14.51,0.78,9848,30059,21.18,21,2021-05-30 22:30:23.732847872+00:00
29.02,682.5,0,14.51,0.78,9848,30059,21.18,21,2021-05-30 22:30:24.750114816+00:00
29.41,688.0,0,14.51,0.0,9849,30059,21.18,21,2021-05-30 22:30:25.760405504+00:00
28.63,677.5,0,14.9,0.0,9850,30059,21.18,21,2021-05-30 22:30:26.772515584+00:00
28.63,679.5,0,14.51,2.34,9851,30059,21.18,21,2021-05-30 22:30:27.783882752+00:00
28.24,683.0,0,14.51,1.56,9852,30059,21.18,21,2021-05-30 22:30:28.791056640+00:00
27.84,680.5,0,14.51,1.56,9853,30059,21.18,21,2021-05-30 22:30:29.798672896+00:00
28.24,681.5,0,14.51,1.56,9855,30059,21.18,21,2021-05-30 22:30:30.810774784+00:00
28.24,681.5,0,14.51,1.56,9855,30059,21.18,21,2021-05-30 22:30:31.829333248+00:00
28.63,677.0,0,14.51,-0.78,9856,30059,21.18,21,2021-05-30 22:30:32.841733120+00:00
29.02,674.5,0,14.51,-0.78,9857,30059,21.18,21,2021-05-30 22:30:33.854171392+00:00
29.02,677.0,0,14.51,0.78,9858,30059,21.18,21,2021-05-30 22:30:34.864598528+00:00
29.02,677.5,0,14.51,0.0,9859,30059,21.18,21,2021-05-30 22:30:35.889741056+00:00
29.41,678.0,0,14.9,-1.56,9861,30059,21.18,21,2021-05-30 22:30:36.901216+00:00
29.02,681.5,0,14.51,0.78,9862,30059,21.18,21,2021-05-30 22:30:37.914978560+00:00
29.02,681.5,0,14.51,0.78,9862,30059,21.18,21,2021-05-30 22:30:38.921855744+00:00
29.02,679.5,0,14.51,0.78,9863,30059,21.18,21,2021-05-30 22:30:39.934607104+00:00
28.63,683.5,0,14.51,0.78,9864,30059,21.18,21,2021-05-30 22:30:40.948165632+00:00
29.02,678.0,0,14.51,-0.78,9865,30059,21.18,21,2021-05-30 22:30:41.961581824+00:00
28.63,675.5,0,14.51,-1.56,9867,30059,21.18,21,2021-05-30 22:30:42.974245888+00:00
29.02,684.0,0,14.51,0.0,9868,30059,21.18,21,2021-05-30 22:30:43.986831104+00:00
29.02,679.5,0,14.51,0.78,9869,30059,21.18,21,2021-05-30 22:30:44.998543360+00:00
29.02,679.5,0,14.51,0.78,9869,30059,21.18,21,2021-05-30 22:30:46.008592896+00:00
28.63,686.0,0,14.51,0.78,9870,30059,21.18,21,2021-05-30 22:30:47.016645120+00:00
29.02,677.5,0,14.51,0.0,9871,30059,21.18,21,2021-05-30 22:30:48.028820736+00:00
29.8,681.0,0,14.9,0.0,9872,30059,21.18,21,2021-05-30 22:30:49.040921088+00:00
29.02,685.0,0,14.9,1.56,9874,30059,21.18,21,2021-05-30 22:30:50.054734592+00:00
29.41,761.5,0,15.29,4.69,9875,30059,21.18,21,2021-05-30 22:30:51.066459136+00:00
29.41,761.5,0,15.29,4.69,9875,30059,21.18,21,2021-05-30 22:30:52.073746688+00:00
30.59,771.5,0,15.29,-1.56,9876,30059,21.18,21,2021-05-30 22:30:53.086847232+00:00
28.63,875.5,3,15.29,-2.34,9877,30059,21.18,21,2021-05-30 22:30:54.099410176+00:00
29.8,986.5,5,16.08,-2.34,9878,30059,20.78,21,2021-05-30 22:30:55.110787072+00:00
22.75,1036.5,7,14.9,-3.91,9880,30059,20.78,21,2021-05-30 22:30:56.121792768+00:00
27.45,1178.0,8,16.08,-1.56,9881,30059,20.78,21,2021-05-30 22:30:57.138498048+00:00
23.14,1254.5,9,16.08,-1.56,9882,30059,20.78,21,2021-05-30 22:30:58.149759744+00:00
23.14,1254.5,9,16.08,-1.56,9882,30059,20.78,21,2021-05-30 22:30:59.156844288+00:00
23.14,1283.0,10,16.08,-1.56,9883,30059,20.78,21,2021-05-30 22:31:00.169758464+00:00
21.96,1269.0,11,16.08,-1.56,9884,30059,20.78,21,2021-05-30 22:31:01.182730496+00:00
25.49,1377.0,13,16.47,-2.34,9886,30059,20.78,21,2021-05-30 22:31:02.190172416+00:00
26.27,1329.5,14,16.47,0.0,9887,30059,20.78,21,2021-05-30 22:31:03.201965824+00:00
19.22,1323.5,15,15.69,-1.56,9888,30059,20.39,21,2021-05-30 22:31:04.214305280+00:00
21.57,1350.0,15,16.08,0.78,9889,30059,20.39,21,2021-05-30 22:31:05.226546176+00:00
21.57,1350.0,15,16.08,0.78,9889,30059,20.39,21,2021-05-30 22:31:06.238398976+00:00
22.75,1395.5,16,16.08,-3.91,9890,30059,20.39,21,2021-05-30 22:31:07.256937472+00:00
25.1,1397.0,17,16.86,-0.78,9892,30059,20.39,21,2021-05-30 22:31:08.270872832+00:00
18.82,1352.0,18,15.69,-6.25,9893,30059,20.39,21,2021-05-30 22:31:09.281886976+00:00
